count,place
319,고집돌우럭 - 중문점
189,고집돌우럭 - 함덕점
184,명진전복
181,올래국수
131,우진해장국
118,고집돌우럭
108,자매국수
87,흑돈가 제주본점
78,스타벅스 제주중문점
66,카페 델문도
63,돈사돈
56,제주삼대국수회관본점
54,산방식당
50,카페 서연의 집
49,삼성혈해물탕
47,춘심이네 본점
44,몽상
44,봄날
44,늘봄 흙돼지
41,순옥이네명가
40,유리네
40,쌍둥이횟집 본점
38,오는정김밥
36,덤장 중문점
35,네거리식당
34,제주김만복 동문시장점
33,앤트러사이트
31,중문수두리보말칼국수
30,유동커피
30,스타벅스 제주노형점
28,삼보식당
27,미영이네식당
27,풍림다방
27,테라로사 커피
26,은희네해장국
25,스타벅스 성산일출봉점
23,맛나식당
23,운정이네식당
22,색달식당
22,모이세 해장국
21,놀맨닷컴
21,낭뜰에쉼팡
21,버드나무집
21,앙뚜아네트
21,해월정
20,태광식당
20,일통이반
20,봉순이네흑돼지
20,상춘재
20,성미가든
18,해녀촌식당
18,블랑로쉐
18,김희선제주몸국
17,스타벅스 제주중문DT점
17,면뽑는선생만두빚는아내
16,제주김만복 서귀포점
16,한림칼국수
16,복자씨연탄구이
16,벵디
15,협재해녀의집
15,착한집
15,오드랑베이커리
15,가람전복돌솥밥
14,마노르블랑 카페
14,오성토속음식점
14,아라파파
14,덕인당보리빵
13,88버거
13,도두해녀의집
13,신설오름
12,옥돔식당
12,삼무국수
11,올레국수
11,부두식당
11,리치망고
11,숙성도
10,돈사돈 별관
10,양가형제
10,다가미
10,스타벅스 제주용담DT점
9,스타벅스 제주칠성점
9,노라바
8,카페루시아
8,돈사돈 중문점
8,제주마당
8,스타벅스 - 제주송악산점
8,스타벅스 서귀포DT점
8,제주시 새우리
8,스타벅스 제주애월DT점
7,월정리갈비밥
7,무거버거
7,은혜전복
7,해녀잠수촌
6,국수만찬
6,제주 김만복
6,제주김만복 - 애월점
6,이춘옥원조고등어쌈밥
6,대기정
5,스타벅스 - 제주함덕점
5,스타벅스 제주서귀포점
5,국수바다
4,허니문하우스
4,신의한모
4,버터모닝
4,바다속고등어쌈밥
3,서귀다원
2,뷰스트
2,아줄레주
2,맥도날드
2,카페 이피엘
2,카페 나모나모
1,원앤온리
1,돌카롱 - 사려니숲길점
1,표선수산마트
1,은희네해장국 - 서귀포점
1,우무 ? 휴점
1,몬스터살롱
1,숙성도 중문점
1,뚱보아저씨
1,미쁜제과
1,카페글렌코
1,목장카페 드르쿰다
